song_name,genre,lyrics,artist_name
"মনে পড়ে তোমায়, মনে পড়ে ভালোবাসায় (গীতিকবিতা ১)",আধুনিক বাংলা গান,"[চলে যাওয়া মানে প্রস্থান নয়; বিচ্ছেদ নয়
চলে যাওয়া মানে নয় বন্ধন ছিন্ন-করা আর্দ্র রজনী
চলে গেলে আমারও অধিক কিছু থেকে যাবে
আমার না-থাকা জুড়ে…]
মনে পড়ে তোমায়, মনে পড়ে ভালোবাসায়
মনে পড়ে অপমানে, মনে পড়ে ক্ষমায়
মনে পড়ে আলিঙ্গনে, মনে পড়ে অপারগতায়
মনে পড়ে অতুল তোমার চাহনিতে
মনে পড়ে প্রতারণায়
মনে পড়ে সান্ত্বনায়, মনে পড়ে যন্ত্রণায়
মনে পড়ে আর্তনাদ করে কেঁদেছি
মনে পড়ে বিদায় বেলায়
মনে পড়ে অকালে আমার মনের শান্তি মরে যায়
মনে পড়ে বছরে বছরে গড়া সংসারে কি যেন হারিয়ে যায়
মনে পড়ে নিদ্রাহীন কত রাতে জেগে আছি ভোরেরই আশায়
এই হৃদয় তোমার কুঠার আঘাতে কত রক্ত ঝরেছে বৃথাই
রেখে গেছে বুকের মাঝে চাপা ব্যথা
মনে পড়ে তোমায়
মনে পড়ে তোমায়, মনে পড়ে জটিলতায়
মনে পড়ে শিহরনে, মনে পড়ে অস্থিরতায়
মনে পড়ে কামনায়, মনে পড়ে বাসনায়
মনে পড়ে অভিশাপে, মনে পড়ে নিষ্ঠুরতায়
মনে পড়ে ঈর্ষা-কাতরতায় মনে পড়ে বনিবনায়
মনে পড়ে অসহায় হয়ে ছুটেছিলাম প্রেমের মরীচিকায়
মনে পড়ে প্রতিশোধ নেবার প্রবণতায় প্রতিরোধ করার প্রতিক্রিয়ায়
প্রতীয়মান এ অপরাধী মনে কত বিষাক্ত তোমার ছোঁয়ায়
মনে পড়ে জীবনে আমার সকল স্বপ্ন মরে যায়
মনে পড়ে মানুষ নিংড়ানো সংসারে বেঁচে থাকা যে কত দায়
মনে পড়ে নিদ্রাহীন মনের ঝরে জেগে আছি শুধু স্বস্তির আশায়
তোমার হৃদয়ে লুকানো ভাটা-গারে কত যে শিল্পী মরেছে বৃথাই
বেঁচে আছি ব্যথার মাঝে নতুন ব্যথায়
মনে পড়ে তোমায়
মনে পড়ে তোমায় অনেক স্মৃতি ভুলে থাকায়
মনে পড়ে শুধু হট্টগোলে, মনে পড়ে নিঃস্বত্বটায়
মনে পড়ে অপূর্ণতায়, মনে পড়ে অক্ষমতায়
মনে পড়ে নিরুপায়ে ক্ষোভে প্রচণ্ডতায়
মনে পড়ে অহেতুক সুযোগ নেওয়ায়
মনে পড়ে ঝলমলে মিথ্যা কথায়
মনে পড়ে নিষ্প্রাণ হাসি হেসেছিলে তুমি প্রেম প্রেম খেলায়
মনে পড়ে তোমায় নিদারুণ এই বাস্তবতায়
আমি জানি আগামী শুধু আসবে আজকের বেঁচে থাকায়
বেঁচে আছি উৎপীড়নে বেঁচে আছি উন্মাদনায়
বেঁচে আছি বেঁচে থাকার শত তাগিদে
ক্ষণিকের তোমারই আশায়
মনে রবে তোমায় অনাগত কোন গীতিকবিতায়
মনে রবে শুধু দীর্ঘশ্বাসে আর একমিনিট নীরবতায়
============
গান: মনে পড়ে তোমায়
ভোকাল: মাকসুদুল হক
অ্যালবাম: বঙ্গাব্দ ১৪০০
ব্যান্ড: ফিডব্যাক","ফিডব্যাক, মাকসুদুল হক"
সমর আলো করে কার কামিনী,ফোক গান,"সমর আলো করে কার কামিনী!
সজল জলদ জিনিয়া কায়, দশনে প্রকাশে দামিনী৷৷
এলায়ে চাঁচর চিকুর পাশ, সুরাসুর মাঝে না করে ত্রাস,
অট্টহাসে দানব নাশে, রণ প্রকাশে রঙ্গিণী৷৷
কিবা শোভা করে শ্রমজ বিন্দু, ঘনতনু ঘেরি কুমুদবন্ধু,
অমিয় সিন্ধু হেরিয়া ইন্দু, মলিন এ কোন মোহিনী৷৷
এ কি অসম্ভব ভব পরাভব, পদতলে শবসদৃশ নীরব,
কমলাকান্ত কর অনুভব, কে বটে ও গজগামিনী৷৷",কমলাকান্ত
এই শ্রাবণ-বেলা বাদল-ঝরা,রবীন্দ্রসঙ্গীত,"এই শ্রাবণ-বেলা বাদল-ঝরা   যূথীবনের গন্ধে ভরা ॥
     কোন্‌   ভোলা দিনের বিরহিনী,   যেন তারে চিনি চিনি--
ঘন বনের কোণে কোণে ফেরে ছায়ার-ঘোমটা-পরা ॥
কেন বিজন বাটের পানে   তাকিয়ে আছি কে তা জানে।
     হঠাৎ কখন অজানা সে   আসবে আমার দ্বারের পাশে,
বাদল-সাঁঝের আঁধার-মাঝে   গান গাবে প্রাণ-পাগল করা ॥",রবীন্দ্রনাথ ঠাকুর
নবীন কিশোরী মেঘের বিজুরি চমকি চলিয়া গেল,ফোক গান,"নবীন কিশোরী,                     মেঘের বিজুরি,
চমকি চলিয়া গেল।
সঙ্গের সঙ্গিনী,                    সকল কামিনী,
ততহি উদয় ভেল।।
সই! জনমিয়া দেখি নাই হেন নারী।
ভঙ্গিম রঙ্গিম,                    ঘন সে চাহনি,
গলে যে মোতিম হারি।।
অঙ্গের সৌরভে,                    ভ্রমরা ধাওয়ে,
ঝঙ্কার করয়ে যাই।
অঙ্গের বসন,                    ঘুচায় কখন,
কখন ঝাঁপয়ে তাও।।
মনের সহিতে,                    মরম কৌতুকে,
সখীর কান্দেতে বাহু।
হাসির চাহনি,                    দেখাল কামিনী,
পরান হারানু তহু।।
হাসির চাহনি,                    দেখাল কামিনী,
পরান হারানু তহু।।
চলন ভঙ্গী,                    অতি সুরঙ্গী,
চাপটিলে জীবন মোর।
অঙ্গুলির আগে,                    চাঁদ যে ঝলকে,
পড়িছে উছলি জোর।।
চাহে যাহা পানে,                    বধয়ে পরাণে,
দারুন চাহনি তার।
হিয়ার ভিতরে,                    পাঁজর কাটিয়ে,
বিঁধিল বাণ যে মার।।
জর জর হিয়া,                    রহিল পড়িয়া,
চেতন নহিল মোর।
চণ্ডীদাসে কয়,                    ব্যাধি সমাধি নয়,
দেখিয়া হইনু ভোর।।",চণ্ডীদাস
উত্তরীয় লুটায় আমার,নজরুলগীতি,"হৈমন্তী তেওড়া
উত্তরীয় লুটায় আমার –
    ধানের খেতে হিমেল হাওয়ায়।
আমার চাওয়া জড়িয়ে আছে
    নীল আকাশের সুনীল চাওয়ায়॥
    ভাঁটির শীর্ণা নদীর কূলে
    আমার রবি-ফসল দুলে,
নবান্নেরই সুঘ্রাণে মোর
    চাষির মুখে টপ্পা গাওয়ায়॥",কাজী নজরুল ইসলাম
দিন গেলো আবার দিন ফিরে এলো,আধুনিক বাংলা গান,"দিন গেলো আবার দিন ফিরে এলো
সেই তুমি গেলে আর ফিরে এলে না
কোথায় আছো তুমি কেমন আছো
একবারও কেন তুমি দেখা দিলে না
আমায় ছেড়ে যদি চলেই যাবে
ইশারায় কেন কাছে ডাকলে
এতো কাছে এসে ভালোবেসে
অজানায় কেন সরে থাকলে
জীবনটা আমার বদলে গেল
স্বপ্নগুলো আজ শূন্য হলো
তোমার চোখে আজ দুচোখ রেখে
সুখের আড়ালে বিরহ দেখি
আবার নতুন করে আসবে তুমি
সেই আশায় পথ চেয়ে থাকি
যে মন তোমায় ভালোবেসেছিলো
আগের মতই আজো রয়ে গেলো
ব্যান্ডঃ মাইলস।",মাইলস
রিনিক ঝিনি ঝিনি চিনি তারে চিনি,আধুনিক বাংলা গান,"রিনিক ঝিনি ঝিনি চিনি তারে চিনি
সুর ছড়ালো মন ভরালো
কঙ্কন কিঙ্কিনী তার কনক কিঙ্কিনী।।
বুঝি সে সাঁঝের ছায়
জল নিতে ঘাটে যায়
নূপুর বাজে পায়
সে ফিরে ফিরে চায়
এমন করে সাড়া তো কেউ
দেয়নি কোনদিনই।
ময়ুরগুলো তার পানে ঐ
শুধু চেয়ে থাকে
মন বলে ইশারাতে
আমায় কাছে ডাকে।
কেন যে অকারণ
উতলা হলো মন
হায়গো কি যে চাই
ভাবি শুধু তাই
আমায় যেন কত ঋণে
করল সে আজ ঋণী।।","গৌরীপ্রসন্ন মজুমদার, বাণী ঘোষাল, শ্যামল মিত্র"
আমি সেই হরিণটার কথা বলছিলাম,আধুনিক বাংলা গান,"আমি সেই হরিণটার কথা বলছিলাম
হরিণটা দৌড়চ্ছিল
আমিও",শিলাজিৎ মজুমদার
আজুকার নিশি নিকুঞ্জে আসি করিল বিবিধ রাস,ফোক গান,"আজুকার নিশি,                   নিকুঞ্জে আসি,
করিল বিবিধ রাস।
রসের সাগরে,                   ডুবাইল মোরে,
বিহানে চলিল বাস।।
শুনহে সুবল সখা।
সে হেন সুন্দরী,                   গুণের আগরি,
পুন কি পাইব দেখা?
মদনে আগুলি,                   গলে গলে মিলি,
চুম্বন করিল যত।
কেশ বেশ যদি,                   বিথার হইল,
তাহা বা কহিব কত?
অশেষ বিশেষ,                   বচন কহিয়া,
আবেশে কইয়া কোরে।
অঙ্গের পরশে,                   হিয়া ডুবাইল,
কেমনে পাসরি তারে?
চণ্ডীদাস কহে,                   শুনহে নাগর!
এ বড় লাগল ধন্ধ।
সে রাধা রমণী,                   রস শিরোমণি,
তোমারে করল বন্ধ।",চণ্ডীদাস
আমার মা আছে রে সকল নামে,নজরুলগীতি,"আমার মা আছে রে সকল নামে,
মা যে আমার সর্বনাম।যেনামে ডাক শ্যামা মাকে
পুরবে তাতেই মনস্কাম॥
ভালোবেসে আমার শ্যামা মাকে
যার যাহা সাধ সেই নামে সে ডাকে,
সেই নামে মা দেয় রে ধরা
কেউ শ্যামা কয়, কেহ শ্যাম।
এক সাগরে মিশে গিয়ে
সকল নামের নদী  সেই হরিহর কৃষ্ণ ও রাম,
দেখিস তাঁকে যদি,
নিরাকার সাকারা সে কভু,
সকল জাতির উপাস্য সে প্রভু,
নয় সে নারী নয় সে পুরুষ,
সর্বলোকে তাঁহার ধাম॥",কাজী নজরুল ইসলাম
